"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3013","User login with wrong email or password","LMS system","Mon Dec 22 06:20:58 UTC 2025","passed","Mon Dec 22 06:21:01 UTC 2025","Authorization","Authentication","",""
"","2288","Registration with correct email, username and password","LMS system","Mon Dec 22 06:21:07 UTC 2025","passed","Mon Dec 22 06:21:10 UTC 2025","Registration","Authentication","",""
"","2030","User login with wrong email or password","LMS system","Mon Dec 22 06:20:47 UTC 2025","passed","Mon Dec 22 06:20:49 UTC 2025","Authorization","Authentication","",""
"","1936","Check displaying of empty courses list","LMS system","Mon Dec 22 06:21:16 UTC 2025","passed","Mon Dec 22 06:21:18 UTC 2025","Courses","Courses","",""
"","4649","Create course","LMS system","Mon Dec 22 06:21:19 UTC 2025","passed","Mon Dec 22 06:21:24 UTC 2025","Courses","Courses","",""
"","2592","Check displaying of dashboard page","LMS system","Mon Dec 22 06:21:27 UTC 2025","passed","Mon Dec 22 06:21:29 UTC 2025","Dashboard","Dashboard","",""
"","2001","Check displaying of dashboard page","LMS system","Mon Dec 22 06:21:24 UTC 2025","passed","Mon Dec 22 06:21:26 UTC 2025","Dashboard","Dashboard","",""
"","2035","Check displaying of empty courses list","LMS system","Mon Dec 22 06:21:12 UTC 2025","passed","Mon Dec 22 06:21:14 UTC 2025","Courses","Courses","",""
"","4009","Registration with correct email, username and password","LMS system","Mon Dec 22 06:21:09 UTC 2025","passed","Mon Dec 22 06:21:13 UTC 2025","Registration","Authentication","",""
"","2634","User login with wrong email or password","LMS system","Mon Dec 22 06:20:55 UTC 2025","passed","Mon Dec 22 06:20:57 UTC 2025","Authorization","Authentication","",""
"","6200","Edit course","LMS system","Mon Dec 22 06:21:25 UTC 2025","passed","Mon Dec 22 06:21:31 UTC 2025","Courses","Courses","",""
"","3404","Create course","LMS system","Mon Dec 22 06:21:15 UTC 2025","passed","Mon Dec 22 06:21:18 UTC 2025","Courses","Courses","",""
"","6361","User login with correct email and password","LMS system","Mon Dec 22 06:20:58 UTC 2025","passed","Mon Dec 22 06:21:04 UTC 2025","Authorization","Authentication","",""
"","1362","User login with wrong email or password","LMS system","Mon Dec 22 06:20:49 UTC 2025","passed","Mon Dec 22 06:20:51 UTC 2025","Authorization","Authentication","",""
"","4074","Edit course","LMS system","Mon Dec 22 06:21:19 UTC 2025","passed","Mon Dec 22 06:21:23 UTC 2025","Courses","Courses","",""
"","1893","Navigation from login page to registration page","LMS system","Mon Dec 22 06:21:06 UTC 2025","passed","Mon Dec 22 06:21:08 UTC 2025","Authorization","Authentication","",""
"","2633","User login with wrong email or password","LMS system","Mon Dec 22 06:20:55 UTC 2025","passed","Mon Dec 22 06:20:57 UTC 2025","Authorization","Authentication","",""
"","3825","User login with correct email and password","LMS system","Mon Dec 22 06:21:01 UTC 2025","passed","Mon Dec 22 06:21:05 UTC 2025","Authorization","Authentication","",""
"","1775","Navigation from login page to registration page","LMS system","Mon Dec 22 06:21:05 UTC 2025","passed","Mon Dec 22 06:21:07 UTC 2025","Authorization","Authentication","",""
"","2113","User login with wrong email or password","LMS system","Mon Dec 22 06:20:47 UTC 2025","passed","Mon Dec 22 06:20:49 UTC 2025","Authorization","Authentication","",""
